call_id,timestamp,customer_id,provider_id,specialty,outcome,call_duration_s,api_latency_ms,workflow_steps_completed,error_code
CALL-01451,2026-02-09T07:01:38,CUS-105,PRV-020,Internal Medicine,SCHEDULED,271,233,1,
CALL-01828,2026-02-09T07:01:58,CUS-105,PRV-038,Pediatrics,CALL_FAILED,270,494,1,ERR-2585
CALL-01841,2026-02-09T07:05:46,CUS-102,PRV-013,Internal Medicine,TRANSFER,452,120,3,
CALL-01280,2026-02-09T07:06:42,CUS-103,PRV-029,Cardiology,TRANSFER,63,569,3,
CALL-00396,2026-02-09T07:08:23,CUS-104,PRV-019,Orthopedics,SCHEDULED,224,707,1,
CALL-00671,2026-02-09T07:08:28,CUS-102,PRV-019,Cardiology,SCHEDULED,265,349,2,
CALL-01485,2026-02-09T07:11:14,CUS-102,PRV-001,Cardiology,SCHEDULED,549,445,4,
CALL-01219,2026-02-09T07:16:00,CUS-105,PRV-027,Dermatology,NO_AVAILABILITY,475,264,1,ERR-6583
CALL-00382,2026-02-09T07:16:07,CUS-102,PRV-021,Family Medicine,SCHEDULED,84,134,5,
CALL-01837,2026-02-09T07:18:05,CUS-102,PRV-040,Dermatology,NO_AVAILABILITY,588,192,5,ERR-6439
CALL-01189,2026-02-09T07:18:20,CUS-102,PRV-046,Dermatology,PATIENT_HANGUP,552,667,5,
CALL-01771,2026-02-09T07:18:20,CUS-101,PRV-009,Pediatrics,SCHEDULED,487,261,4,
CALL-00388,2026-02-09T07:26:01,CUS-101,PRV-022,Orthopedics,CALL_FAILED,79,275,1,ERR-3750
CALL-00293,2026-02-09T07:27:56,CUS-102,PRV-031,Orthopedics,SCHEDULED,393,743,5,
CALL-01017,2026-02-09T07:28:23,CUS-104,PRV-016,Orthopedics,NO_AVAILABILITY,254,370,6,ERR-8801
CALL-00423,2026-02-09T07:29:55,CUS-104,PRV-047,Internal Medicine,SCHEDULED,140,593,3,
CALL-01606,2026-02-09T07:31:07,CUS-102,PRV-026,Dermatology,SCHEDULED,581,277,5,
CALL-01050,2026-02-09T07:31:27,CUS-104,PRV-027,Internal Medicine,NO_AVAILABILITY,60,722,1,ERR-5601
CALL-01652,2026-02-09T07:35:50,CUS-103,PRV-046,Internal Medicine,TRANSFER,302,440,7,
CALL-00081,2026-02-09T07:36:30,CUS-103,PRV-008,Family Medicine,NO_AVAILABILITY,96,195,6,ERR-9624
CALL-01025,2026-02-09T07:41:41,CUS-104,PRV-006,Neurology,SCHEDULED,166,507,6,
