timestamp,requests_count,error_rate_pct,avg_latency_ms,p99_latency_ms,circuit_breaker_status,active_connections
2026-02-09T00:00:00,69,0.79,276.5,1133.9,CLOSED,191
2026-02-09T00:05:00,303,0.81,94.5,300.1,CLOSED,182
2026-02-09T00:10:00,450,1.66,197.3,867.4,CLOSED,139
2026-02-09T00:15:00,120,0.5,202.4,693.9,CLOSED,10
2026-02-09T00:20:00,131,2.12,196.0,496.8,CLOSED,20
2026-02-09T00:25:00,462,0.69,189.3,713.8,CLOSED,101
2026-02-09T00:30:00,256,1.62,294.3,1385.4,CLOSED,77
2026-02-09T00:35:00,194,2.37,276.8,1089.0,CLOSED,78
2026-02-09T00:40:00,350,0.86,211.1,638.0,CLOSED,143
2026-02-09T00:45:00,407,2.32,344.9,1526.2,CLOSED,183
2026-02-09T00:50:00,327,1.26,235.1,1003.9,CLOSED,163
2026-02-09T00:55:00,411,2.0,149.6,563.3,CLOSED,18
2026-02-09T01:00:00,211,1.51,247.5,1122.3,CLOSED,13
2026-02-09T01:05:00,459,2.18,241.2,1002.1,CLOSED,46
2026-02-09T01:10:00,273,2.08,289.3,937.8,CLOSED,42
2026-02-09T01:15:00,352,0.42,140.1,440.4,CLOSED,107
2026-02-09T01:20:00,417,0.34,107.2,414.9,CLOSED,190
2026-02-09T01:25:00,383,2.34,224.1,602.1,CLOSED,36
2026-02-09T01:30:00,223,0.89,157.8,484.4,CLOSED,14
2026-02-09T01:35:00,400,0.11,99.8,361.9,CLOSED,199
2026-02-09T01:40:00,133,1.78,328.2,933.3,CLOSED,59
2026-02-09T01:45:00,410,2.06,342.5,1640.1,CLOSED,137
2026-02-09T01:50:00,376,0.82,303.2,880.5,CLOSED,111
2026-02-09T01:55:00,406,1.82,281.6,1050.2,CLOSED,141
2026-02-09T02:00:00,115,1.96,222.1,669.1,CLOSED,144
2026-02-09T02:05:00,79,1.64,255.2,848.4,CLOSED,149
2026-02-09T02:10:00,248,2.43,158.3,602.4,CLOSED,108
2026-02-09T02:15:00,152,1.77,346.6,1471.2,CLOSED,75
2026-02-09T02:20:00,206,1.48,179.9,660.0,CLOSED,157
2026-02-09T02:25:00,188,1.54,342.6,1191.7,CLOSED,183
2026-02-09T02:30:00,277,0.88,195.7,794.3,CLOSED,155
2026-02-09T02:35:00,397,1.96,184.4,710.7,CLOSED,10
2026-02-09T02:40:00,277,2.16,311.7,899.4,CLOSED,111
2026-02-09T02:45:00,328,2.03,93.7,248.2,CLOSED,46
2026-02-09T02:50:00,117,1.1,183.7,462.7,CLOSED,117
2026-02-09T02:55:00,425,0.87,323.2,1171.3,CLOSED,139
2026-02-09T03:00:00,305,1.08,155.0,645.4,CLOSED,143
2026-02-09T03:05:00,434,2.37,167.1,734.7,CLOSED,136
2026-02-09T03:10:00,138,0.94,347.6,1090.4,CLOSED,120
2026-02-09T03:15:00,247,0.76,81.8,311.6,CLOSED,96
2026-02-09T03:20:00,463,1.35,298.5,1142.5,CLOSED,43
2026-02-09T03:25:00,86,0.8,95.5,337.8,CLOSED,100
2026-02-09T03:30:00,139,0.71,108.8,514.6,CLOSED,87
2026-02-09T03:35:00,351,0.72,287.9,1160.0,CLOSED,85
2026-02-09T03:40:00,476,0.11,296.5,890.8,CLOSED,145
2026-02-09T03:45:00,268,1.08,224.3,570.3,CLOSED,69
2026-02-09T03:50:00,494,2.11,301.6,785.6,CLOSED,26
2026-02-09T03:55:00,259,1.19,338.7,1011.0,CLOSED,169
2026-02-09T04:00:00,128,0.82,332.9,1594.8,CLOSED,141
2026-02-09T04:05:00,73,1.64,96.4,433.2,CLOSED,95
2026-02-09T04:10:00,426,1.86,226.0,867.1,CLOSED,17
2026-02-09T04:15:00,192,2.46,289.8,1265.5,CLOSED,64
2026-02-09T04:20:00,348,0.75,236.2,1045.3,CLOSED,173
2026-02-09T04:25:00,355,0.26,244.0,905.7,CLOSED,157
2026-02-09T04:30:00,189,2.21,116.4,389.0,CLOSED,49
2026-02-09T04:35:00,235,1.43,109.6,380.7,CLOSED,79
2026-02-09T04:40:00,71,1.36,160.7,588.2,CLOSED,100
2026-02-09T04:45:00,403,1.91,182.0,678.9,CLOSED,140
2026-02-09T04:50:00,214,2.44,83.8,313.9,CLOSED,173
2026-02-09T04:55:00,396,2.39,234.7,597.8,CLOSED,96
2026-02-09T05:00:00,330,1.5,249.5,651.9,CLOSED,178
2026-02-09T05:05:00,417,2.46,80.3,324.6,CLOSED,79
2026-02-09T05:10:00,488,0.45,315.4,823.4,CLOSED,69
2026-02-09T05:15:00,321,2.43,175.5,702.2,CLOSED,45
2026-02-09T05:20:00,480,0.9,155.7,728.3,CLOSED,129
2026-02-09T05:25:00,70,0.56,164.3,504.1,CLOSED,154
2026-02-09T05:30:00,291,1.89,259.5,834.1,CLOSED,121
2026-02-09T05:35:00,108,1.2,244.6,1012.8,CLOSED,27
2026-02-09T05:40:00,186,1.33,194.8,970.8,CLOSED,185
2026-02-09T05:45:00,51,1.35,122.9,461.1,CLOSED,195
2026-02-09T05:50:00,452,0.41,243.7,1000.0,CLOSED,111
2026-02-09T05:55:00,191,1.77,297.6,822.9,CLOSED,117
2026-02-09T06:00:00,162,0.48,254.6,743.6,CLOSED,119
2026-02-09T06:05:00,419,0.17,253.6,981.8,CLOSED,193
2026-02-09T06:10:00,285,1.59,155.6,552.4,CLOSED,133
2026-02-09T06:15:00,100,0.8,219.4,1014.3,CLOSED,123
2026-02-09T06:20:00,256,0.56,80.7,238.4,CLOSED,161
2026-02-09T06:25:00,398,0.61,341.0,926.2,CLOSED,33
2026-02-09T06:30:00,458,2.46,223.0,983.6,CLOSED,129
2026-02-09T06:35:00,448,1.4,120.4,345.2,CLOSED,107
